Epoch, Train Loss, Train Acc, Val Loss, Val Acc
122, 1.2611, 0.6305, 2.6195, 0.4002
123, 1.2467, 0.6406, 2.6258, 0.3915
124, 1.2715, 0.6340, 2.7116, 0.3776
125, 1.2477, 0.6396, 2.6434, 0.4005
126, 1.2412, 0.6413, 2.5792, 0.3983
127, 1.2271, 0.6453, 2.7080, 0.3814
128, 1.1981, 0.6507, 2.6970, 0.3855
129, 1.2073, 0.6472, 2.6279, 0.4140
130, 1.1739, 0.6583, 2.6260, 0.4148
131, 1.1332, 0.6708, 2.5847, 0.4092
132, 1.1428, 0.6698, 2.5496, 0.4122
133, 1.1167, 0.6775, 2.5610, 0.4230
134, 1.1206, 0.6715, 2.5124, 0.4230
135, 1.1070, 0.6780, 2.5920, 0.4140
136, 1.0979, 0.6822, 2.5108, 0.4302
137, 1.0665, 0.6899, 2.5752, 0.4140
138, 1.1091, 0.6745, 2.5501, 0.4388
139, 1.0947, 0.6775, 2.5980, 0.4264
140, 1.0414, 0.6944, 2.5181, 0.4302
141, 1.0053, 0.7088, 2.4829, 0.4478
142, 1.0033, 0.7091, 2.5266, 0.4358
143, 1.0076, 0.7075, 2.5281, 0.4407
144, 0.9876, 0.7129, 2.5083, 0.4298
145, 0.9746, 0.7099, 2.4344, 0.4471
146, 0.9626, 0.7189, 2.5596, 0.4287
147, 0.9632, 0.7172, 2.5966, 0.4321
148, 0.9178, 0.7348, 2.4653, 0.4429
149, 0.9340, 0.7305, 2.5311, 0.4257
150, 0.9098, 0.7313, 2.5783, 0.4384
151, 0.9131, 0.7319, 2.5815, 0.4414
152, 0.8883, 0.7350, 2.5312, 0.4407
153, 0.8552, 0.7492, 2.4724, 0.4572
154, 0.8755, 0.7418, 2.5514, 0.4456
155, 0.8963, 0.7398, 2.5829, 0.4309
156, 0.8824, 0.7402, 2.5544, 0.4493
157, 0.8896, 0.7402, 2.5264, 0.4463
158, 0.8796, 0.7429, 2.5467, 0.4411
159, 0.9219, 0.7236, 2.6456, 0.4283
160, 0.9295, 0.7299, 2.6193, 0.4276
161, 0.9322, 0.7255, 2.6156, 0.4242
162, 0.9460, 0.7196, 2.6056, 0.4324
163, 0.9070, 0.7315, 2.6213, 0.4336
164, 0.9112, 0.7276, 2.5663, 0.4336
165, 0.8927, 0.7322, 2.4909, 0.4489
166, 0.8697, 0.7372, 2.5018, 0.4516
167, 0.8283, 0.7553, 2.4907, 0.4482
168, 0.8057, 0.7607, 2.4780, 0.4411
169, 0.8149, 0.7596, 2.4707, 0.4640
170, 0.8286, 0.7541, 2.5744, 0.4456
171, 0.7862, 0.7686, 2.5338, 0.4429
172, 0.7843, 0.7678, 2.6011, 0.4411
173, 0.7749, 0.7693, 2.5835, 0.4351
174, 0.7417, 0.7804, 2.5908, 0.4531
175, 0.7678, 0.7726, 2.4781, 0.4640
176, 0.7460, 0.7746, 2.5978, 0.4482
177, 0.7307, 0.7831, 2.4958, 0.4546
178, 0.7248, 0.7853, 2.6019, 0.4542
179, 0.7500, 0.7764, 2.6352, 0.4565
180, 0.7869, 0.7672, 2.5238, 0.4651
181, 0.7760, 0.7688, 2.7723, 0.4358
182, 0.7257, 0.7886, 2.5450, 0.4666
183, 0.7099, 0.7930, 2.5897, 0.4527
184, 0.6924, 0.7954, 2.5488, 0.4598
185, 0.7165, 0.7868, 2.6933, 0.4332
186, 0.7561, 0.7733, 2.6200, 0.4474
187, 0.7601, 0.7754, 2.5858, 0.4617
188, 0.7350, 0.7813, 2.6760, 0.4478
189, 0.7323, 0.7819, 2.5942, 0.4459
190, 0.7221, 0.7932, 2.5272, 0.4647
191, 0.7374, 0.7771, 2.5397, 0.4606
192, 0.7305, 0.7803, 2.6036, 0.4572
193, 0.7046, 0.7919, 2.5959, 0.4501
194, 0.7345, 0.7764, 2.5627, 0.4561
195, 0.7290, 0.7838, 2.6336, 0.4505
196, 0.6933, 0.7950, 2.6537, 0.4516
197, 0.6794, 0.8011, 2.6160, 0.4632
198, 0.6986, 0.7871, 2.6210, 0.4512
199, 0.7249, 0.7824, 2.7740, 0.4336
200, 0.7489, 0.7767, 2.7365, 0.4396
201, 0.7227, 0.7814, 2.7454, 0.4339
202, 0.7285, 0.7800, 2.6204, 0.4429
203, 0.7182, 0.7832, 2.6147, 0.4358
204, 0.7206, 0.7831, 2.8259, 0.4276
205, 0.7328, 0.7833, 2.5234, 0.4628
206, 0.6803, 0.7991, 2.5640, 0.4643
207, 0.6699, 0.7968, 2.6213, 0.4625
208, 0.6430, 0.8061, 2.6375, 0.4505
209, 0.6722, 0.7995, 2.6564, 0.4595
210, 0.6614, 0.8008, 2.5145, 0.4741
211, 0.6362, 0.8057, 2.6386, 0.4628
212, 0.6348, 0.8080, 2.5065, 0.4767
213, 0.6347, 0.8120, 2.6210, 0.4606
214, 0.6225, 0.8143, 2.4797, 0.4730
215, 0.5957, 0.8219, 2.5468, 0.4617
216, 0.5896, 0.8286, 2.5001, 0.4692
217, 0.5963, 0.8258, 2.5649, 0.4658
218, 0.5956, 0.8233, 2.4763, 0.4745
